School_Name,Status of School,County,Lat,Lon,DevicesExpected,DevicesDelivered,DeliveredMonth,Power_Connection,Class one enrollment,,,,,,,,
RURIGI PRI,PUBLIC,UASIN GISHU,0.255276,35.432948,458,316,OCTOBER,KPLC,3419,,,,,,,,
KAPSAOS FAM PRI,PUBLIC,UASIN GISHU,0.552922,35.233009,196,185,APRIL,Solar,8932,,,,,,,,
WIMA JUNIOR ACADEMY PRI SCH,PUBLIC,NAIROBI,-1.248056,36.900319,960,835,JUNE,Solar,5417,,,,,,,,
KIMOLWO PRI,PUBLIC,NANDI,0.009425,35.000237,351,52,JANUARY,Solar,5465,,,,,,,,
MUTI-UMWE PRI,PUBLIC,NYANDARUA,-0.054726111,36.45281778,588,438,OCTOBER,KPLC,3608,,,,,,,,
NYANSANCHA DEB PRI,PUBLIC,KISII,-0.691882,34.751748,966,635,FEBRUARY,KPLC,9933,,,,,,,,
SIRISIA MAL PRIMARY,PUBLIC,BUNGOMA,0.75193,34.49293,686,149,MARCH,NO,8586,,,,,,,,
CENTRAL GIRLS PRI SCH,PUBLIC,MOMBASA,-4.04469,39.66719,43,3,MAY,Solar,6557,,,,,,,,
SACHANGWAN PRI SCH,PUBLIC,BOMET,-0.76729,35.28023,250,75,APRIL,Solar,3529,,,,,,,,
ITINDA PRIMARY,PUBLIC,KITUI,-0.58332,38.06638,418,257,APRIL,KPLC,5856,,,,,,,,
KIHUMBUINI PRI SCH,PUBLIC,NAIROBI,-0.843219,37.220456,957,111,SEPTEMBER,KPLC,9705,,,,,,,,
ST. MARY'S UKWALA BOYS PRIMARY,PUBLIC,SIAYA,0.195277,34.184732,553,29,MAY,NO,1360,,,,,,,,
KUNDENI PRI SCH,PUBLIC,KILIFI,-3.09892,39.94154,951,635,APRIL,Solar,4154,,,,,,,,
GANYURE PRI SCH,PUBLIC,WAJIR,1.7159,39.93281,25,13,AUGUST,Solar,1709,,,,,,,,
CHIRICHIRO DEB PRI,PUBLIC,KISII,-0.76555,34.836676,309,177,MAY,Solar,8202,,,,,,,,
ELEMENTAITA PRI SCH,PUBLIC,NAKURU,-0.612868,36.125952,943,465,MARCH,KPLC,830,,,,,,,,
PUMWANI PRIMARY SCHOOL,PUBLIC,KILIFI,-3.08722,40.05868,755,165,NOVEMBER,KPLC,8454,,,,,,,,
KIAMUYA PRI SCH,PUBLIC,NYERI,-0.572596,36.958282,243,236,FEBRUARY,Solar,1077,,,,,,,,
KITUMBI PRIMARY,PUBLIC,TAITA TAVETA,-1.27825,38.03623,367,298,AUGUST,KPLC,1967,,,,,,,,
LYAMAGALE FRIENDS PRIMARY,PUBLIC,VIHIGA,0.020877,34.647974,372,210,JANUARY,Solar,6447,,,,,,,,
MASIMBANI PRY SCH,PUBLIC,KWALE,-4.429296,39.296391,489,479,SEPTEMBER,NO,3346,,,,,,,,
BORO PRIMARY,PUBLIC,SIAYA,0.08732,34.239038,921,491,SEPTEMBER,NO,8038,,,,,,,,
KIJABE PRI,PUBLIC,KIAMBU,-0.94732,36.59811,784,711,OCTOBER,Solar,6871,,,,,,,,
GALAMAGALA PRIMARY,PUBLIC,GARISSA,-1.191823,40.760326,603,174,APRIL,NO,4345,,,,,,,,
RIDORE PRI SCH,PUBLIC,KISUMU,-0.13328,34.46746,387,72,APRIL,Solar,7958,,,,,,,,
SATELLITE PRI SCH,PUBLIC,NAKURU,-0.994377,36.474763,802,88,AUGUST,KPLC,7447,,,,,,,,
KIPKAMA FYM PRI SCH,PUBLIC,BUNGOMA,0.852574,34.679198,583,527,FEBRUARY,Solar,7921,,,,,,,,
WAMUMU REHABILITATION SCH,PUBLIC,KIRINYAGA,-0.744003,37.317619,547,528,SEPTEMBER,KPLC,3970,,,,,,,,
BUKNA PRY SCH,PUBLIC,KISUMU,-0.03699,34.76183,290,54,APRIL,NO,1113,,,,,,,,
ENDIKIR PRI SCH,PUBLIC,KAJIADO,-2.01328,37.14066,557,244,NOVEMBER,NO,5839,,,,,,,,
IRUMA PRI,PUBLIC,THARAKA NITHI,-0.216129,37.678984,688,623,AUGUST,KPLC,81,,,,,,,,
MICHAKA PRI,PUBLIC,MERU,0.077335,37.585497,352,294,FEBRUARY,NO,2,,,,,,,,
GATUNDU PRI,PUBLIC,NYERI,-0.50862,37.144824,45,15,OCTOBER,NO,3016,,,,,,,,
BISUNI SPECIAL UNIT,PUBLIC,KAKAMEGA,0.534006,34.840996,87,83,OCTOBER,NO,9776,,,,,,,,
NYABIGEGE DOK PRI,PUBLIC,KISII,-0.724994,34.65835,116,84,OCTOBER,Solar,2446,,,,,,,,
OMOKIRONDO ELCK PRI,PUBLIC,NYAMIRA,-0.539485,35.018813,231,199,APRIL,KPLC,2583,,,,,,,,
KINGWAL PRI,PUBLIC,NANDI,0.345759,35.268344,313,151,JULY,NO,1890,,,,,,,,
MAZIWA  PRIMARY,PUBLIC,TANA RIVER,-2.18248,40.133309,155,56,FEBRUARY,Solar,1041,,,,,,,,
GITUI SPECIAL UNIT,PUBLIC,MURANGA,-0.726019166,37.04868028,677,223,MARCH,NO,7445,,,,,,,,
NAISOYA PRI SCH,PUBLIC,NAROK,-0.9251,35.863676,991,662,JULY,Solar,3379,,,,,,,,
GETOME DOK PRI,PUBLIC,KISII,-0.77333,34.780368,23,11,FEBRUARY,KPLC,9171,,,,,,,,
ST. PETERS GATITURI PRI SCH,PUBLIC,EMBU,-0.508324,37.469413,574,157,JANUARY,KPLC,9674,,,,,,,,
GATHERU PRI SCH,PUBLIC,MURANGA,-0.729371388,37.06766611,351,333,MARCH,KPLC,5630,,,,,,,,
CHELALANG PRI SCH,PUBLIC,UASIN GISHU,0.620271,35.430249,254,29,JANUARY,NO,4384,,,,,,,,
ILPARAKUO PRI SCH,PUBLIC,KAJIADO,-1.88819,36.310889,269,67,OCTOBER,Solar,6539,,,,,,,,
ST MICHAEL GILRS KERUGOYA,PUBLIC,KIRINYAGA,-0.497166,37.277937,582,368,SEPTEMBER,Solar,5704,,,,,,,,
WANGIGE PRIMARY,PUBLIC,KIAMBU,-1.21695,36.71105,125,77,FEBRUARY,KPLC,1129,,,,,,,,
MUNDI PRIMARY,PUBLIC,NYANDARUA,-0.367661,36.344802,692,121,NOVEMBER,KPLC,5172,,,,,,,,
BOGAMBERO PRY SCH,PUBLIC,MIGORI,-1.192049,34.443397,563,410,MARCH,Solar,4890,,,,,,,,
SIGISI DOK PRI,PUBLIC,KISII,-0.699421,34.672652,429,62,NOVEMBER,KPLC,6416,,,,,,,,
KAPSOO PRI,PUBLIC,ELEGEYO MARAKWET,0.46873,35.77038,538,496,JULY,KPLC,676,,,,,,,,
RANEN PRI,PUBLIC,MIGORI,-0.80594,34.56397,962,618,AUGUST,KPLC,6607,,,,,,,,
BUYONGE DEB PRI,PUBLIC,KISII,-0.762324,34.717485,353,61,MAY,KPLC,7435,,,,,,,,
KIRANDA SPECIAL SCH,PUBLIC,MIGORI,-0.825319,34.140406,62,2,MARCH,KPLC,2352,,,,,,,,
BARAGOI PRI,PUBLIC,SAMBURU,1.785361,36.791484,388,147,APRIL,Solar,508,,,,,,,,
SABAKI PRI SCH,PUBLIC,KILIFI,-3.16368,40.08292,797,319,FEBRUARY,KPLC,977,,,,,,,,
KOROSYOT PRI SCH,PUBLIC,KERICHO,-0.10777,35.38551,606,513,JANUARY,Solar,986,,,,,,,,
NYAGONDO PRIMARY,PUBLIC,SIAYA,0.04848,34.414127,510,13,NOVEMBER,NO,6465,,,,,,,,
KIMAMA PRI SCH,PUBLIC,BUNGOMA,0.82076,34.52028,286,155,JULY,KPLC,8893,,,,,,,,
KATULYE PRI SCH,PUBLIC,MAKUENI,-0.81341,37.28161,205,60,APRIL,KPLC,2041,,,,,,,,
KALIANI PRI,PUBLIC,MAKUENI,-0.50268,38.11972,862,733,FEBRUARY,Solar,3347,,,,,,,,
SASUMUA PRI SCH,PUBLIC,NAKURU,-0.31063,35.65803,324,211,JANUARY,Solar,1241,,,,,,,,
KIRIITA PRI SCH,PUBLIC,TRANS NZOIA,1.068282,35.145626,206,108,OCTOBER,KPLC,3833,,,,,,,,
KAMOR LIBAN PRI,PUBLIC,MANDERA,3.1971,41.24777,278,207,AUGUST,KPLC,152,,,,,,,,
NAMUSASI ACK PRI,PUBLIC,BUNGOMA,0.478379,34.447231,976,493,SEPTEMBER,KPLC,9209,,,,,,,,
NYAMOGO PRIMARY,PUBLIC,HOMA BAY,-0.736908,34.259519,669,625,APRIL,KPLC,2509,,,,,,,,
INDURU PRI,PUBLIC,VIHIGA,0.039064,34.69064,388,121,FEBRUARY,Solar,673,,,,,,,,
BARTARAGON PRI,PUBLIC,BARINGO,0.63752,35.77288,545,144,SEPTEMBER,KPLC,1571,,,,,,,,
KEMBIBIR PRI SCH,PUBLIC,KERICHO,-0.22699,35.11247,772,258,MARCH,KPLC,4383,,,,,,,,
KATISAA PRI SCH,PUBLIC,KITUI,-1.08004,37.75321,920,177,AUGUST,KPLC,2339,,,,,,,,
OSIRI PRY SCH,PUBLIC,KISUMU,-0.12465,34.60392,449,395,JULY,NO,6370,,,,,,,,
MUNAINI SPECIAL UNIT,PUBLIC,NYERI,-0.557553,36.941728,844,176,MAY,NO,5575,,,,,,,,
MUDETE PRY SCH,PUBLIC,VIHIGA,0.118385,34.762578,386,2,JULY,KPLC,134,,,,,,,,
DAGO KANYAGAYA PRIMARY,PUBLIC,KISUMU,-0.031809,34.491779,696,358,SEPTEMBER,NO,7125,,,,,,,,
MWIYALA PRY SCH,PUBLIC,KAKAMEGA,0.30698,34.77146,293,270,SEPTEMBER,KPLC,5886,,,,,,,,
BONDO KOGELO PRI,PUBLIC,MIGORI,-0.86485,34.57873,385,291,MAY,KPLC,5607,,,,,,,,
RATIENY PRI SCH,PUBLIC,MIGORI,-1.009442,34.153466,106,88,JUNE,KPLC,5796,,,,,,,,
OCHIEWA PRIMARY,PUBLIC,SIAYA,-0.01015,34.28723,310,133,JANUARY,NO,8850,,,,,,,,
CHEPYA PRI SCH,PUBLIC,WEST POKOT,1.366639,35.310166,76,50,OCTOBER,Solar,1430,,,,,,,,
LOKICHAR MIXED PRI,PUBLIC,TURKANA,2.390299,35.649984,775,773,FEBRUARY,KPLC,6497,,,,,,,,
RANEN MIKUMU PRIMARY,PUBLIC,HOMA BAY,-0.78397,34.28365,48,22,MARCH,Solar,3021,,,,,,,,
NASERIAN OSUPUKO PRI,PUBLIC,NAROK,-1.58233,35.81838,782,660,FEBRUARY,Solar,1054,,,,,,,,
KALIMENZA PRI SCH,PUBLIC,KITUI,-1.40789,37.94788,972,896,NOVEMBER,Solar,850,,,,,,,,
FAZA BOYS PRI SCH,PUBLIC,LAMU,-2.05439,41.10875,187,77,FEBRUARY,KPLC,9168,,,,,,,,
KOYASA PRI SCH,PUBLIC,TURKANA,4.97195,35.48529,583,157,SEPTEMBER,KPLC,5137,,,,,,,,
GET PRI,PUBLIC,MIGORI,-0.86734,34.55726,428,222,OCTOBER,KPLC,3274,,,,,,,,
KWASYOKISINGA PRI,PUBLIC,MACHAKOS,-1.454361,37.686317,611,443,FEBRUARY,NO,4413,,,,,,,,
MALILI PRI SCH,PUBLIC,KITUI,-1.8644,38.10773,306,246,MAY,NO,9354,,,,,,,,
NICA GATWE PRI SCH,PUBLIC,EMBU,-0.443141,37.43694,994,899,APRIL,KPLC,162,,,,,,,,
SEGERO PRI,PUBLIC,BUSIA,0.5004756,34.26794852,985,515,JULY,Solar,4382,,,,,,,,
MBAGA MIXED PRIMARY,PUBLIC,SIAYA,0.08395,34.27613,823,150,OCTOBER,Solar,6559,,,,,,,,
BARTABWA PRIMARY,PUBLIC,BARINGO,0.84124,35.80915,821,750,MAY,Solar,9129,,,,,,,,
NTHUNGUNI PRI SCH,PUBLIC,MAKUENI,-1.76765,37.37397,28,15,FEBRUARY,NO,8304,,,,,,,,
MPURI PRI SCH,PUBLIC,MERU,0.037223889,37.60021416,809,407,OCTOBER,KPLC,2099,,,,,,,,
MIGIRO PRI SCH,PUBLIC,SIAYA,-0.18842,34.15206,776,457,JANUARY,NO,3640,,,,,,,,
KAPYEMIT PRI,PUBLIC,BARINGO,0.16532,36.040712,570,226,JUNE,NO,2998,,,,,,,,
NDUMBI PRY,PUBLIC,MAKUENI,-1.68527,37.58434,713,42,NOVEMBER,KPLC,9314,,,,,,,,
KIPKOROR PRI,PUBLIC,NANDI,0.164684,35.256778,381,38,AUGUST,NO,6397,,,,,,,,
LEHELEY PRI SCH,PUBLIC,WAJIR,1.62999,40.00712,303,33,MARCH,Solar,7094,,,,,,,,
ARASH PRIMARY,PUBLIC,NAKURU,0.013645,36.208239,783,60,OCTOBER,Solar,1729,,,,,,,,
ST MARY'S ANDAMA PRI,PUBLIC,BARINGO,-0.03715,35.66682,184,31,MAY,NO,9763,,,,,,,,
LONGISA PRY SCH,PUBLIC,BOMET,-0.85419,35.393524,222,72,JUNE,Solar,2773,,,,,,,,
TUURU PRY SCH,PUBLIC,MERU,0.318365277,37.93484333,193,81,JULY,Solar,9588,,,,,,,,
ST.PAUL MBARAGA  PRI. SCH.,PUBLIC,EMBU,-0.470774,37.77194,346,265,JANUARY,Solar,4333,,,,,,,,
ANKAMIA PRY,PUBLIC,MERU,0.13388,37.870996,244,170,MARCH,NO,3591,,,,,,,,
MADEIYA PRY SCH,PUBLIC,VIHIGA,0.056683,34.811109,414,26,MAY,NO,5541,,,,,,,,
MAIRI PRI SCH,PUBLIC,MURANGA,-0.764373611,36.81925444,217,59,MARCH,KPLC,6047,,,,,,,,
MATINYANI DEB SPECIAL UNIT,PUBLIC,KITUI,-1.3106,37.97142,234,120,JUNE,Solar,2249,,,,,,,,
MUCHE PRY SCH,PUBLIC,HOMA BAY,-0.656108,34.505668,316,258,NOVEMBER,NO,5209,,,,,,,,
WRAY PRIMARY,PUBLIC,TAITA TAVETA,-3.50705,38.57489,351,58,JUNE,KPLC,8365,,,,,,,,
KYAMBITI PRI SCH,PUBLIC,KITUI,-1.44268,38.02101,686,618,NOVEMBER,KPLC,7525,,,,,,,,
DEB IVECHE PRI SCH,PUBLIC,EMBU,-0.521279,37.46457,481,478,JANUARY,NO,7930,,,,,,,,
KAMOR PRI SCH,PUBLIC,MANDERA,3.92622,41.84934,254,189,JANUARY,Solar,578,,,,,,,,
SEKEROT PRI SCH,PUBLIC,NAROK,1.37179,35.68957,329,105,NOVEMBER,NO,1603,,,,,,,,
AYANI ESTATE PRI SCH,PUBLIC,NAIROBI,-1.310756,36.775934,29,10,AUGUST,Solar,6060,,,,,,,,
BOMANI PRI SCH,PUBLIC,KILIFI,-3.0758,40.11143,349,266,APRIL,KPLC,5619,,,,,,,,
SEIYO SPECIAL UNIT,PUBLIC,UASIN GISHU,0.374299,35.369694,337,293,MARCH,KPLC,3912,,,,,,,,
YEEMWATU PRIMARY SCHOOL,PUBLIC,MACHAKOS,-1.231448,37.479366,33,25,MARCH,Solar,5446,,,,,,,,
NDERU PRI,PUBLIC,KIAMBU,-1.14051,36.6036,330,105,MAY,KPLC,2861,,,,,,,,
MAKYAU PRI,PUBLIC,MACHAKOS,-1.474178,37.209442,519,399,OCTOBER,KPLC,9335,,,,,,,,
NYAPWAKA PRI,PUBLIC,KAKAMEGA,0.424440701,34.38626847,348,248,JANUARY,Solar,3377,,,,,,,,
NDULIKYE PRIMARY,PUBLIC,KITUI,-1.58497,38.33043,501,309,SEPTEMBER,NO,5123,,,,,,,,
SUGOI PRI,PUBLIC,UASIN GISHU,0.59198,35.097819,997,510,JULY,NO,8011,,,,,,,,
GUBANI  PRIMARY,PUBLIC,TANA RIVER,-1.7344,40.13647,390,199,FEBRUARY,NO,3349,,,,,,,,
TABUTI SUDI RC PRI,PUBLIC,BUNGOMA,0.552487,34.482978,893,348,JANUARY,NO,4546,,,,,,,,
KANJUU SPECIAL UNIT,PUBLIC,KIRINYAGA,-0.534109,37.4102,695,169,AUGUST,Solar,4432,,,,,,,,
SAWAWA SPECIAL SCH,PUBLIC,KAKAMEGA,0.421842,34.747667,185,176,JUNE,Solar,9892,,,,,,,,
NGEGE PRI,PUBLIC,MIGORI,-0.3706,35.00647,842,356,SEPTEMBER,NO,8129,,,,,,,,
LUNZA PRI,PUBLIC,KAKAMEGA,0.241378701,34.55196673,201,52,NOVEMBER,Solar,5272,,,,,,,,
BURUNDU PRY,PUBLIC,KAKAMEGA,0.443341,34.754698,392,106,SEPTEMBER,Solar,9638,,,,,,,,
KIHUHA PRI,PUBLIC,NYANDARUA,-0.140710277,36.50935889,206,24,APRIL,Solar,2035,,,,,,,,
METIBELIO PRI SCH,PUBLIC,ELEGEYO MARAKWET,0.98545,35.44392,737,11,MAY,Solar,1380,,,,,,,,
UASONYIRO PRY SCH,PUBLIC,LAIKIPIA,0.125295,36.884564,118,92,FEBRUARY,Solar,4274,,,,,,,,
ADINGO BWARE PRI,PUBLIC,KISUMU,-0.381992,34.870995,792,744,OCTOBER,Solar,4061,,,,,,,,
MWANIA PR,PUBLIC,MAKUENI,-2.07629,37.91136,631,24,OCTOBER,KPLC,8478,,,,,,,,
KAMUNYONGOLE A.C PRIMARY,PUBLIC,BUNGOMA,0.73599,34.43685,856,107,JULY,NO,4474,,,,,,,,
MONIRE PRIMARY SCHOOL,PUBLIC,KERICHO,-0.617679,35.063213,165,20,SEPTEMBER,Solar,5913,,,,,,,,
KAWILI PRIMARY SCH,PUBLIC,KISUMU,-0.324815,34.912419,263,23,OCTOBER,NO,4255,,,,,,,,
KOSELE PRI SCH,PUBLIC,HOMA BAY,-0.4301,34.68897,524,336,APRIL,Solar,1939,,,,,,,,
MUTAMAIYU PRI,PUBLIC,NYANDARUA,-0.590025277,36.62954167,384,338,AUGUST,NO,4521,,,,,,,,
CHESIRO SA PRI SCH,PUBLIC,BUNGOMA,0.850574,34.463892,858,568,JUNE,NO,8062,,,,,,,,
EBUSAKAMI PRIMARY,PUBLIC,VIHIGA,0.017743,34.598531,649,474,JANUARY,Solar,7134,,,,,,,,
ISENA PAG PRI,PUBLIC,KISII,-0.882835,34.863616,106,33,JUNE,NO,298,,,,,,,,
LUMU PRI,PUBLIC,MAKUENI,-1.9512,37.34285,18,6,FEBRUARY,KPLC,6625,,,,,,,,
KAPTICH PRIMARY,PUBLIC,NAKURU,-0.549073,36.022182,746,682,NOVEMBER,KPLC,6974,,,,,,,,
MARON PRI SCH,PUBLIC,BARINGO,1.235394,35.579203,686,425,OCTOBER,KPLC,4881,,,,,,,,
ITUGURURU PRI,PUBLIC,THARAKA NITHI,-0.420629,37.703662,166,40,JULY,Solar,5959,,,,,,,,
ILOOI PRI SCH,PUBLIC,KITUI,-1.34859,37.98508,669,280,SEPTEMBER,Solar,3935,,,,,,,,
NALEPO PRI SCH,PUBLIC,KAJIADO,-1.909863,36.847248,961,598,NOVEMBER,NO,2964,,,,,,,,
KAMAGUTA PRI SCH,PUBLIC,MURANGA,-0.770868888,37.06956056,81,46,FEBRUARY,NO,4217,,,,,,,,
NG'ENY PRI SCH,PUBLIC,TRANS NZOIA,1.197506,35.0131,489,108,JUNE,NO,8048,,,,,,,,
KITARU PR,PUBLIC,NYAMIRA,-0.613387,35.04442,812,403,APRIL,KPLC,8763,,,,,,,,
ST. JOSEPH ROMAN PRY,PUBLIC,KAKAMEGA,0.375998,34.720987,837,44,FEBRUARY,Solar,4811,,,,,,,,
MAJEMBENI PRI SCH,PUBLIC,LAMU,-2.319913,40.6108,610,96,JUNE,KPLC,5955,,,,,,,,
VIYALO PRY SCH,PUBLIC,VIHIGA,0.11363,34.69585,806,373,MARCH,Solar,1333,,,,,,,,
ROYSAMBU PRI SCH,PUBLIC,NAIROBI,-1.204048,36.896483,253,233,AUGUST,NO,5394,,,,,,,,
CEDAR PRI SCH,PUBLIC,NAKURU,-0.61166,36.257324,566,82,SEPTEMBER,NO,8590,,,,,,,,
ISEE PRI,PUBLIC,KITUI,-0.97972,38.12908,401,360,MARCH,NO,1990,,,,,,,,
YINDUNDU PRI,PUBLIC,MAKUENI,-2.51056,38.215,412,38,FEBRUARY,Solar,7616,,,,,,,,
KIRIMA  PRIMARY,PUBLIC,NAKURU,-0.145411,36.040696,120,61,MARCH,NO,6590,,,,,,,,
OLOIRIEN LEKULE PRY SCH,PUBLIC,NAROK,-0.785315,35.979311,102,56,OCTOBER,Solar,9071,,,,,,,,
MIIRI-INI PRI SCH,PUBLIC,NYERI,-0.498455,36.882125,365,33,APRIL,KPLC,7387,,,,,,,,
NYAKONGO PRIMARY,PUBLIC,KISUMU,-0.18651,34.99629,487,228,SEPTEMBER,KPLC,26,,,,,,,,
MAWEMBE KODERO PRI,PUBLIC,KISUMU,-0.050111146,34.6508618,572,325,MAY,NO,7088,,,,,,,,
NYAMOGONGWI PRY,PUBLIC,MIGORI,-1.25783,34.682951,862,206,JULY,KPLC,8160,,,,,,,,
MWITERIA PRI SCH,PUBLIC,MERU,0.043103056,37.66732805,404,83,JANUARY,KPLC,5661,,,,,,,,
KOWINO PRY SCH,PUBLIC,MIGORI,-1.111858,34.45469,509,468,JANUARY,NO,710,,,,,,,,
JURA PRI,PUBLIC,NYANDARUA,-0.464410028,36.44155583,825,667,JUNE,Solar,2832,,,,,,,,
YEJE PRI SCH,PUBLIC,KWALE,-4.17488,39.58761,330,21,OCTOBER,KPLC,6129,,,,,,,,
NGARATUKO PRI,PUBLIC,BARINGO,0.73225,35.97466,785,116,OCTOBER,KPLC,806,,,,,,,,
KAMUTHINI PRY,PUBLIC,MAKUENI,-1.87436,37.30101,371,126,JANUARY,NO,7135,,,,,,,,
RIACIINA  PRI. SCH.,PUBLIC,EMBU,-0.798138,37.833368,254,9,MAY,Solar,5355,,,,,,,,
NGOROIN PRI,PUBLIC,NANDI,0.50174,34.98208,284,138,MAY,Solar,598,,,,,,,,
KIKOMA PRY SCH,PUBLIC,MIGORI,-1.025327,34.39535,92,4,JUNE,NO,3977,,,,,,,,
NDOONI PRI,PUBLIC,KITUI,-0.36524,38.29848,537,282,JANUARY,NO,1978,,,,,,,,
KIYO SPECIAL UNIT,PUBLIC,MURANGA,-0.754473,37.18393,722,506,NOVEMBER,NO,4363,,,,,,,,
CHEBIRIR PRI SCH,PUBLIC,BOMET,-0.1891,35.15147,371,9,MARCH,Solar,7284,,,,,,,,
BARUT PRIMARY,PUBLIC,NAKURU,-0.323101,36.053733,551,149,SEPTEMBER,KPLC,3806,,,,,,,,
KARAMBARI PRI,PUBLIC,THARAKA NITHI,-0.416519,37.822645,684,132,JULY,NO,4727,,,,,,,,
KIMEREK PRI,PUBLIC,NANDI,0.049835,34.88108,131,80,MAY,Solar,1349,,,,,,,,
ONGAROI PRI SCH,PUBLIC,BUSIA,0.50839,34.18063,464,39,OCTOBER,Solar,9881,,,,,,,,
MPUKU PRIMARY,PUBLIC,KITUI,-0.44698,38.05712,744,625,AUGUST,KPLC,4535,,,,,,,,
NG'ITI PRI,PUBLIC,KISUMU,-0.11353,35.03015,996,742,AUGUST,NO,3946,,,,,,,,
FATHER SCHEFFER ASUMBI BOYS BOARDING,PUBLIC,HOMA BAY,-0.617475,34.616416,325,125,OCTOBER,KPLC,2524,,,,,,,,
JORA PRIMARY,PUBLIC,TAITA TAVETA,-3.83758,38.61992,678,618,NOVEMBER,NO,4773,,,,,,,,
KIHATHA PRI SCH,PUBLIC,NYERI,-0.428983,36.890464,799,660,JULY,KPLC,3874,,,,,,,,
MILIMANI PRI,PUBLIC,MIGORI,0.72397,34.97893,85,28,SEPTEMBER,KPLC,9360,,,,,,,,
KAGIR PRI SCH,PUBLIC,BARINGO,0.8023,35.95133,739,292,AUGUST,Solar,8803,,,,,,,,
KWASUVU PRI SCH,PUBLIC,MACHAKOS,-1.03327,37.67433,939,698,JULY,NO,8728,,,,,,,,
LOKITAUNG MIXED PRI SCH,PUBLIC,TURKANA,4.27888,35.73552,798,617,NOVEMBER,NO,9111,,,,,,,,
MDOMO PRY SCH,PUBLIC,KWALE,-3.901246,39.224343,348,38,MAY,NO,4064,,,,,,,,
OTOK PRI SCH,PUBLIC,HOMA BAY,-0.38827,34.6193,675,39,MAY,NO,8991,,,,,,,,
NYANCHWA MIXED PRI,PUBLIC,KISII,-0.675967,34.763285,923,719,OCTOBER,KPLC,937,,,,,,,,
KILIMANI INTERGRATED PRI SCH,PUBLIC,NAIROBI,-1.290218,36.781983,555,315,OCTOBER,KPLC,5553,,,,,,,,
GENDO PRI,PUBLIC,HOMA BAY,-0.716478,34.200849,399,334,NOVEMBER,NO,527,,,,,,,,
KARIMA PRI,PUBLIC,KIRINYAGA,0.727556,34.855446,555,319,MAY,NO,5466,,,,,,,,
ILATU PRY,PUBLIC,MAKUENI,-2.35658,37.85162,32,3,MARCH,KPLC,7089,,,,,,,,
SONDU PRI SCH,PUBLIC,KERICHO,-0.38854,35.01204,601,64,JUNE,NO,7513,,,,,,,,
NGOMENI PRI,PUBLIC,MAKUENI,-1.44162,37.23771,328,304,SEPTEMBER,NO,5152,,,,,,,,
GESONSO DOK PRI,PUBLIC,KISII,-0.838252,34.646058,436,24,JANUARY,KPLC,8852,,,,,,,,
KABONGOI PRI SCH,PUBLIC,NAKURU,-0.4771,35.54276,424,80,SEPTEMBER,NO,8610,,,,,,,,
NDERE PRI SCH,PUBLIC,HOMA BAY,-0.016515,34.054419,139,139,AUGUST,Solar,3774,,,,,,,,
RUSSO PRY SCH,PUBLIC,MARSABIT,3.31596,37.07553,428,104,JUNE,KPLC,1334,,,,,,,,
KITHONI PRI SCH,PUBLIC,MAKUENI,-2.00916,37.69312,590,410,AUGUST,KPLC,7364,,,,,,,,
ST TERESA'S BOYS PRI,PUBLIC,NAIROBI,-1.265317,36.84686,985,386,JANUARY,KPLC,8327,,,,,,,,
WII PRI SCH,PUBLIC,KITUI,-1.4045,37.97754,378,311,JULY,KPLC,785,,,,,,,,
KINYAATA PRIMARY SCHOOL,PUBLIC,MACHAKOS,-1.339376,37.638665,409,335,JANUARY,Solar,4423,,,,,,,,
MWAKWALA PRI,PUBLIC,KILIFI,-3.666899,39.496994,908,802,FEBRUARY,Solar,2285,,,,,,,,
KOBUJOI PRI,PUBLIC,NANDI,0.058426,34.975851,227,129,JANUARY,KPLC,5577,,,,,,,,
MWANGAZA PRI,PUBLIC,NYANDARUA,-0.323281111,36.90555306,133,118,OCTOBER,Solar,1709,,,,,,,,
KITINGIA PRIMARY,PUBLIC,BUNGOMA,0.600464,34.377039,414,143,JANUARY,NO,8640,,,,,,,,
ILKARIAN PRI,PUBLIC,NAROK,-1.230451,34.80563,432,42,OCTOBER,Solar,3484,,,,,,,,
KAMUNERU ACK PRI SCH,PUBLIC,BUNGOMA,0.834599,34.635301,577,464,JANUARY,Solar,9658,,,,,,,,
GOT KACHOLA PRY,PUBLIC,MIGORI,-1.042157,34.527796,182,77,FEBRUARY,KPLC,8644,,,,,,,,
FUNZI PRY SCH,PUBLIC,KWALE,-4.568303,39.438083,714,694,APRIL,NO,8607,,,,,,,,
KIANATE DOK SPECIAL UNIT,PUBLIC,KISII,-0.766899,34.873226,798,148,APRIL,KPLC,1069,,,,,,,,
GITHUYA PRI,PUBLIC,MURANGA,-0.824443,37.08295,842,262,APRIL,KPLC,6978,,,,,,,,
MADARAKA PRIMARY,PUBLIC,NAKURU,-0.295673,36.129029,951,587,MAY,KPLC,4804,,,,,,,,
KAMONGIL PRI SCH,PUBLIC,BOMET,-1.00379,35.21816,122,93,JANUARY,NO,1601,,,,,,,,
JOWHAR PRI SCH,PUBLIC,WAJIR,1.7892,40.10327,76,71,MARCH,KPLC,7309,,,,,,,,
KWA-MALUVYU PRI SCH,PUBLIC,MAKUENI,-1.98878,37.73449,123,76,OCTOBER,KPLC,9204,,,,,,,,
